District,Crop,Season,Average yield
Kayonza,Other crops,A,4310.21
Kayonza,Maize,B,1224.43
Kayonza,Sorghum,B,1139.40
Kayonza,Paddy rice,B,3951.59
Kayonza,Wheat,B,0.00
Kayonza,Chia seeds,B,294.80
Kayonza,Other Cereals,B,541.80
Kayonza,Cassava,B,17798.14
Kayonza,Sweet potatoes,B,5522.77
Kayonza,Irish potatoes,B,3117.06
Kayonza,Yams & Taro,B,5778.52
Kayonza,Bananas,B,16686.76
Kayonza,Cooking Banana,B,19667.39
Kayonza,Dessert banana,B,13691.67
Kayonza,Banana for beer,B,8855.12
Kayonza,Beans,B,677.89
Kayonza,Bush bean,B,673.39
Kayonza,Climbing bean,B,964.63
Kayonza,Peas,B,699.14
Kayonza,Ground nuts,B,566.59
Kayonza,Soya beans,B,557.20
Kayonza,Vegetables,B,7401.89
Kayonza,Fruits,B,5129.96
Kayonza,Fodder crops,B,27723.61
Kayonza,Other crops,B,2601.20
Kayonza,Tubers and Roots,C,3466.70
Kayonza,Sweet potatoes,C,8581.43
Kayonza,Irish potatoes,C,1051.54
Kayonza,Bean,C,758.32
Kayonza,Bush bean,C,758.32
Kayonza,Climbing bean,C,0.00
Kayonza,Peas,C,0.00
Kayonza,Soya beans,C,0.00
Kayonza,Vegetables,C,14898.17
Kicukiro,Maize,A,1229.62
Kicukiro,Sorghum,A,0.00
Kicukiro,Paddy rice,A,3098.58
Kicukiro,Wheat,A,0.00
Kicukiro,Other cereals,A,181.12
Kicukiro,Cassava,A,9701.62
Kicukiro,Sweet potato,A,7662.37
Kicukiro,Irish potato,A,3230.91
Kicukiro,Yams & Taro,A,4924.83
Kicukiro,Cooking banana,A,10097.22
Kicukiro,Dessert banana,A,10524.42
Kicukiro,Banana for beer,A,10654.19
Kicukiro,Bean,A,666.90
Kicukiro,Bush bean,A,668.72
Kicukiro,Climbing bean,A,543.72
Kicukiro,Pea,A,0.00
Kicukiro,Groundnuts,A,126.45
Kicukiro,Soybean,A,239.19
Kicukiro,vegetables,A,4115.20
Kicukiro,Fruits,A,7827.49
Kicukiro,Fodder crops,A,1282.41
Kicukiro,Other crops,A,2285.09
Kicukiro,Maize,B,913.61
Kicukiro,Sorghum,B,1137.34
Kicukiro,Paddy rice,B,4733.01
Kicukiro,Wheat,B,0.00
Kicukiro,Chia seeds,B,127.60
Kicukiro,Other Cereals,B,0.00
Kicukiro,Cassava,B,14280.75
Kicukiro,Sweet potatoes,B,10474.88
Kicukiro,Irish potatoes,B,3262.44
Kicukiro,Yams & Taro,B,5840.34
Kicukiro,Bananas,B,13415.91
Kicukiro,Cooking Banana,B,18818.12
Kicukiro,Dessert banana,B,14347.96
Kicukiro,Banana for beer,B,9788.23
Kicukiro,Beans,B,821.36
Kicukiro,Bush bean,B,823.34
Kicukiro,Climbing bean,B,714.71
Kicukiro,Peas,B,0.00
Kicukiro,Ground nuts,B,478.19
Kicukiro,Soya beans,B,567.25
Kicukiro,Vegetables,B,8542.39
Kicukiro,Fruits,B,1598.69
Kicukiro,Fodder crops,B,4445.10
Kicukiro,Other crops,B,6156.76
Kicukiro,Tubers and Roots,C,8895.95
Kicukiro,Sweet potatoes,C,9231.15
Kicukiro,Irish potatoes,C,0.00
Kicukiro,Bean,C,892.26
Kicukiro,Bush bean,C,892.26
Kicukiro,Climbing bean,C,0.00
Kicukiro,Peas,C,0.00
Kicukiro,Soya beans,C,0.00
Kirehe,Maize,A,1382.68
Kirehe,Sorghum,A,895.01
Kirehe,Paddy rice,A,4962.44
Kirehe,Wheat,A,0.00
Kirehe,Other cereals,A,367.42
Kirehe,Cassava,A,14114.13
Kirehe,Sweet potato,A,6204.68
Kirehe,Irish potato,A,4204.41
Kirehe,Yams & Taro,A,2345.04
Kirehe,Bananas,A,13695.13
Kirehe,Cooking banana,A,16902.92
Kirehe,Dessert banana,A,7846.47
Kirehe,Banana for beer,A,10524.96
Kirehe,Bean,A,546.88
Kirehe,Bush bean,A,536.14
Kirehe,Climbing bean,A,656.76
Kirehe,Pea,A,711.38
Kirehe,Groundnuts,A,369.31
Kirehe,Soybean,A,517.33
Kirehe,vegetables,A,8370.97
Kirehe,Fruits,A,0.00
Kirehe,Fodder crops,A,0.00
Kirehe,Other crops,A,16912.62
Kirehe,Maize,B,2141.16
Kirehe,Sorghum,B,906.43
Kirehe,Paddy rice,B,4430.37
Kirehe,Wheat,B,2279.61
Kirehe,Chia seeds,B,570.44
Kirehe,Other Cereals,B,870.14
Kirehe,Cassava,B,18210.46
Kirehe,Sweet potatoes,B,5913.49
Kirehe,Irish potatoes,B,3083.52
Kirehe,Yams & Taro,B,5115.59
Kirehe,Bananas,B,16406.16
Kirehe,Cooking Banana,B,21063.52
Kirehe,Dessert banana,B,10456.20
Kirehe,Banana for beer,B,9176.87
Kirehe,Beans,B,602.24
Kirehe,Bush bean,B,615.07
Kirehe,Climbing bean,B,582.00
Kirehe,Peas,B,577.78
Kirehe,Ground nuts,B,437.05
Kirehe,Soya beans,B,411.39
Kirehe,Vegetables,B,7807.19
Kirehe,Fruits,B,5708.40
Kirehe,Fodder crops,B,17110.82
Kirehe,Other crops,B,1567.74
Kirehe,Tubers and Roots,C,4191.37
Kirehe,Sweet potatoes,C,3938.51
Kirehe,Irish potatoes,C,4766.68
Kirehe,Bean,C,933.30
Kirehe,Bush bean,C,933.30
Kirehe,Climbing bean,C,0.00
Kirehe,Peas,C,1169.14
Kirehe,Soya beans,C,2730.85
Kirehe,Vegetables,C,9959.77
Muhanga,Maize,A,1584.01
Muhanga,Sorghum,A,810.69
Muhanga,Paddy rice,A,2612.75
Muhanga,Wheat,A,999.32
Muhanga,Other cereals,A,1154.33
Muhanga,Cassava,A,13577.33
Muhanga,Sweet potato,A,6425.08
Muhanga,Irish potato,A,3522.25
Muhanga,Yams & Taro,A,9456.36
Muhanga,Bananas,A,9548.80
Muhanga,Cooking banana,A,11214.41
Muhanga,Dessert banana,A,9823.56
Muhanga,Banana for beer,A,9109.72
Muhanga,Bean,A,507.69
Muhanga,Bush bean,A,452.08
Muhanga,Climbing bean,A,566.18
Muhanga,Pea,A,991.51
Muhanga,Groundnuts,A,147.23
Muhanga,Soybean,A,553.22
Muhanga,vegetables,A,11234.84
Muhanga,Fruits,A,2057.70
